temperature,humidity
31.04,56.01
27.74,61.38
33.67,43.8
31.17,56.5
30.4,54.55
34.27,43.8
30.96,57.48
31.34,64.8
19.89,89.7
20.42,85.8
20.76,63.34
19.86,90.19
20.66,59.43
20.43,89.7
20.73,62.85
17.39,97.52
19.47,88.73
19.59,89.7
20.66,61.87
16.75,98.98
19.43,90.68
19.64,93.12
16.99,99.47
20.1,93.12
16.95,99.47
14.89,99.96
20.44,92.63
20.42,97.03
17.91,98.98
25.72,79.45
18.95,94.59
30.63,64.31
26.05,85.8
32.23,85.31
19.99,87.26
36.02,52.11
23.38,74.08
20.6,58.94
30.41,87.75
30.32,70.17
25.49,76.52
25.82,68.22
33.05,81.4
33.62,49.66
32.56,46.25
28.09,70.66
34.51,77.01
36.38,49.66
20.67,60.41
30.4,58.94
32.36,52.11
37.47,76.03
33.48,57.96
34.3,50.64
34.36,58.94
37.62,78.47
20.57,58.45
34.49,49.18
29.16,59.92
36.11,47.71
30.26,57.48
30.13,62.36
20.58,58.94
31.86,84.33
38.08,50.64
32.41,84.33
29.94,65.78
24.89,72.61
29.11,65.78
32.41,49.66
27.14,67.24
26.69,78.96
20.61,60.41
24.17,73.59
20.64,59.43
28.75,57.48
18.59,99.96
22.25,85.8
20.68,92.63
16.86,99.96
21.11,88.24
20.71,61.87
21.34,89.7
15.49,99.96
19.3,96.05
20.52,76.03
21.89,83.36
20.73,87.26
20.64,64.31
17.7,99.96
19.35,97.52
13.58,99.96
19.69,81.4
17.52,99.96
38.44,37.46
40.69,30.62
36.28,43.32
39.5,45.76
30.2,65.78
34.8,45.27
30.89,57.48
26.51,63.34
25.71,69.68
27.16,65.78
25.37,71.15
25.81,71.64
25.47,72.61
26.75,95.56
25.27,75.54
24.19,75.05
25.26,67.73
25.49,98
25.36,67.24
23.77,77.98
26.08,62.85
23.32,79.45
26.89,55.04
24.64,75.05
23.8,82.38
23.92,75.54
27.93,53.57
23.11,86.77
24.83,75.54
25.63,59.43
25.23,61.38
24.02,86.29
24.56,77.01
23.68,79.94
24.84,98.98
24.64,73.59
22.61,86.29
20.44,60.89
22.29,84.82
23.13,79.94
20.36,60.89
22.6,85.31
24.11,99.96
22.97,85.8
23.43,84.82
22.98,93.12
26.42,50.15
23.68,99.96
20.41,61.38
21.5,92.63
22.72,99.96
26.34,50.64
26,63.82
22.84,91.66
24.75,85.31
27.16,50.64
20.5,60.89
25.16,83.36
25.5,81.89
20.5,63.34
34.99,56.01
26.19,80.91
23.44,76.03
20.48,60.89
26.35,81.89
35.31,56.01
32.05,40.88
36.1,53.08
32.4,38.92
32.84,45.27
40.73,64.8
23.72,69.68
34.7,40.39
37.19,51.62
37.99,50.64
42.91,36.97
23.3,62.85
36.75,36.97
20.54,60.89
28.45,57.96
32.59,61.87
30.71,64.8
30.14,55.04
30.36,87.75
20.55,61.38
27.67,64.31
24.77,71.15
23.28,73.59
23.41,75.05
23.41,75.05
25.67,69.68
25.05,77.01
24.8,66.75
20.57,58.94
23.92,91.66
21.48,75.05
21.4,68.71
18.23,99.96
20.53,55.52
25.01,71.64
18.76,86.77
16.22,85.8
24.91,70.66
18.91,86.29
17.8,87.26
17.63,88.24
18.07,91.17
18.04,86.77
19.15,81.89
20.54,58.94
17.86,83.36
15.51,99.96
17.59,84.33
14.88,91.66
17.35,81.4
17.25,78.96
16.71,81.89
14.26,85.31
17.48,84.82
16.51,80.91
16.34,83.36
15.73,82.87
17.19,81.89
15.72,80.91
15.71,88.24
16.65,78.96
13.23,85.8
20.63,59.92
15.65,77.01
11.68,99.96
23.4,66.75
11.68,99.96
15.44,77.01
11.83,91.17
20.61,59.43
15.31,77.01
16.11,77.01
23.44,65.78
18.21,71.15
18.1,73.59
20.11,66.27
16.04,99.96
18.51,98.98
13.02,99.96
19.3,96.54
20.48,58.45
19.43,98
18.55,87.75
17.7,99.96
16.6,99.96
12.71,99.96
17.85,99.96
16.48,99.96
19.02,84.33
19.33,93.61
18.84,83.84
18.51,99.47
13.52,99.96
20.55,59.43
18.78,98
19.13,98
17.09,99.96
20.16,98
16.3,99.96
17.11,99.96
14.81,99.96
21.16,84.82
19.8,88.24
20.29,83.84
25.32,78.96
20.67,61.38
27.9,66.27
22.77,74.57
25.5,78.96
32.64,67.24
27.66,72.61
27.3,96.05
26.47,70.66
26.34,64.8
20.71,61.38
20.23,80.91
25.15,92.14
22.85,74.57
23.39,74.08
17.5,84.82
20.63,80.91
18.95,82.38
19.48,77.5
20.7,64.8
17.82,83.36
17.62,84.82
18.47,82.38
17.38,85.8
16.77,88.73
14.5,89.7
12.71,99.96
14.31,90.68
16.45,85.8
14.48,90.19
16.96,89.7
16.45,81.4
13,91.66
15.88,80.43
12.79,91.17
16.16,74.08
22.52,64.31
17.39,73.59
23.69,64.8
19.53,67.24
14.81,77.98
21.63,90.68
18.24,66.75
18.29,68.71
19.97,70.17
18.21,70.17
23.39,47.71
17.36,69.68
28.42,54.06
